grid,x,y,Y1V1,Y1V2,Y1V3,Y1V4,Y2V1,Y2V2,Y2V3,Y2V4,Y3V1,Y3V2,Y3V3,Y3V4,Y4V1,Y4V2,Y4V3,Y4V4,Y5V1,Y5V2,Y5V3,Y5V4,effort_1,effort_2,effort_3,effort_4,effort_5,effort_6,effort_7,effort_8,effort_9,effort_10,effort_11,effort_12,effort_13,effort_14 ,effort_15,effort_16,effort_17,effort_18,effort_19,effort_20,slope,jar_sungai,jar_mukim,jar_jalan,jar_hut,elevation,ancaman_19,ancaman_20,ancaman_21,ancaman_22,ancaman_23,ch_2019,ch_2020,ch_2021,ch_2022,ch_23
D40,592623,83304,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,-0.344639045,0.28498998,0,0,0.37814984,0.513606499,0.513606499,0.242693181,0.581063421,-1.26076415,0,0,0.743469631,0.886877162,0.886877162,-1.742260906,1.09367505,0.786833467,0.737201453,0.769685252,-0.81515,-0.460619,-1.206856,-1.50828,-1.464502,-0.044744,-2.43939,1.282947,-2.011846,-0.99593642,-0.799993954,0.977721,0.128229,1.023658,2.30809834,-1.625834352
E39,591011,82045,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.344639045,0.536841589,0.536841589,0,0.242693181,0.513606499,0.513606499,0.242693181,0.439384377,0.581063421,0.581063421,-0.552368931,0.647864611,0.886877162,0.886877162,-1.646655885,0.993153446,0.786833467,0.737201453,0.769685252,-0.621948,-0.837953,-0.920991,-1.262805,-0.973409,-0.003229,-2.43939,1.282947,-2.011846,-0.459342904,-0.222018248,1.362158,1.465321,1.995295,2.499595992,-0.497821126
E41,594511,81176,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,-0.990837254,-0.738985644,0,0.107236522,0.513606499,0.513606499,0.37814984,0.014347245,0.581063421,0.581063421,-0.410689887,0.55225959,0.886877162,0.886877162,-1.551050865,0.591067031,0.786833467,0.737201453,0.769685252,-0.8497,-0.548314,-1.035953,-1.036798,-0.870571,0.102865,-1.300149,1.72772,-0.721597,-0.467361521,-0.472045719,1.41189,0.293244,0.927308,0.946143293,-1.107558005
F38,589061,79090,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,-0.47056485,0.536841589,0.536841589,0.28498998,0,0,0,0,0.297705333,0.581063421,0.581063421,-0.552368931,-1.264235803,-0.738408189,-1.885668437,0,0.792110239,0.363045244,-1.720136723,-1.454838598,2.96284,-0.368356,-0.40701,-0.640614,0.052028,-2.258871,0.10803,1.72772,0.873239,0.674226106,0.730466612,1.064409,1.939826,2.081948,1.382293599,0.015954782
F40,592741,80113,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.03313837,0.536841589,0.536841589,-0.092787435,-0.299133455,0.513606499,0.513606499,0.37814984,-1.551295861,-1.551295861,0,0,-1.933470948,-1.885668437,0,0,-1.117800235,-1.332107647,-1.310580361,-1.454838598,-0.32052,-0.982772,-0.714446,-0.920298,-0.533277,0.019835,-1.300149,1.72772,-0.721597,0.026777238,0.060686682,1.891042,2.405664,2.7679,1.390061735,0.451626299
F42,595894,79719,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.159064175,0.536841589,0.536841589,-0.21871324,-0.163676796,0.513606499,0.513606499,0.37814984,-0.127331799,0.581063421,0.581063421,-0.410689887,0.361049549,-1.598853375,0,0,0.490545427,0.786833467,0.737201453,0.769685252,-0.114026,-0.658946,-0.920148,-0.689839,-1.398784,-0.787399,-1.300149,1.72772,-0.721597,-0.166284395,-0.131731941,1.101853,-1.524391,-1.119032,0.636203382,-2.19158307
F44,600849,79826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.47056485,0.536841589,0,0,0,0,0,0,-0.835727019,0.581063421,-0.842900641,0,-0.212580575,0.886877162,0.217642018,0,0.088459011,0.786833467,0.737201453,0.769685252,1.230446,-0.837953,-1.023765,-0.621653,-1.716322,-2.950786,-0.82826,0.988857,-0.187158,-0.324067364,-1.06544784,1.00601,-0.880156,-0.117121,0.051323815,-1.523340486
F46,603988,78871,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.596490654,-0.848342264,-1.352045483,0,0,0,0,0,-0.694047975,0.581063421,0.581063421,0.014347245,-0.116975555,0.695667121,0.886877162,-0.977420741,0.088459011,-0.27263709,-1.412969451,-1.454838598,0.055074,2.492891,-0.70781,-0.268862,-1.253818,-0.875042,0.78287,0.042538,-0.721597,0.201771771,-0.631533376,0.87974,-0.872509,-0.061936,-0.360300128,-1.30064135
G39,591209,78300,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.47056485,0.536841589,0.536841589,0.28498998,0,0,0,0,0.156026289,0.581063421,0.581063421,-0.552368931,0.456654569,0.886877162,0.886877162,-1.455445844,0.792110239,0.786833467,0.737201453,0.769685252,0.808531,0.636357,-0.313173,-0.579247,-0.009689,0.24586,-0.160908,1.089576,0.568653,0.688279018,0.798813547,1.448107,1.972928,2.295831,1.171506529,0.240686374
G41,594755,77956,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-0.092787435,0.536841589,0.536841589,0.03313837,-0.570046773,0.513606499,0.513606499,0.513606499,-0.127331799,0.581063421,0.581063421,-0.269010843,0.169839507,0.886877162,0.886877162,-1.264235803,0.390023823,0.786833467,0.737201453,0.769685252,-0.407536,2.113111,-0.564796,-0.457833,-1.003576,0.554916,-0.160908,1.089576,0.568653,0.480445563,0.480260746,1.084701,0.405088,0.808855,0.892726445,-0.619623327
G43,598804,76711,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,-0.722416459,0.536841589,0.536841589,-0.092787435,0,0,0,0,-1.551295861,-1.126258729,0.581063421,-0.127331799,0.074234487,0.886877162,0.886877162,-1.168630782,-1.419365047,-1.332107647,-0.491467635,-1.454838598,-0.460516,-0.16355,-0.507285,-0.126052,-1.324105,-0.422991,1.163206,-0.102028,0.873239,0.718239045,0.070983478,0.914214,-0.007805,0.546688,0.802825542,-0.585361921
G45,602652,77514,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.47056485,0.536841589,0.536841589,-0.344639045,0,0,0,0,-0.552368931,0.581063421,0.581063421,0.014347245,-0.116975555,0.886877162,0.886877162,-1.073025761,0.188980615,0.786833467,-1.105802179,-1.454838598,-0.494871,-0.658946,-0.567632,-0.119011,-1.079225,-1.02265,0.78287,0.042538,-0.721597,0.498955069,-0.351473063,0.698551,-1.006084,-0.258369,-0.484066614,-1.256072488
